Date,AR confirmed,AZ confirmed,AR deaths,AZ deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,1,0,0
2020-01-27,0,1,0,0
2020-01-28,0,1,0,0
2020-01-29,0,1,0,0
2020-01-30,0,1,0,0
2020-01-31,0,1,0,0
2020-02-01,0,1,0,0
2020-02-02,0,1,0,0
2020-02-03,0,1,0,0
2020-02-04,0,1,0,0
2020-02-05,0,1,0,0
2020-02-06,0,1,0,0
2020-02-07,0,1,0,0
2020-02-08,0,1,0,0
2020-02-09,0,1,0,0
2020-02-10,0,1,0,0
2020-02-11,0,1,0,0
2020-02-12,0,1,0,0
2020-02-13,0,1,0,0
2020-02-14,0,1,0,0
2020-02-15,0,1,0,0
2020-02-16,0,1,0,0
2020-02-17,0,1,0,0
2020-02-18,0,1,0,0
2020-02-19,0,1,0,0
2020-02-20,0,1,0,0
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-23,0,1,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,2,0,0
2020-03-07,0,4,0,0
2020-03-08,0,4,0,0
2020-03-09,0,6,0,0
2020-03-10,0,6,0,0
2020-03-11,1,10,0,0
2020-03-12,5,10,0,0
2020-03-13,8,10,0,0
2020-03-14,12,12,0,0
2020-03-15,16,12,0,0
2020-03-16,22,18,0,0
2020-03-17,28,20,0,0
2020-03-18,37,27,0,0
2020-03-19,62,44,0,0
2020-03-20,100,63,0,0
2020-03-21,118,103,0,1
2020-03-22,159,152,0,2
2020-03-23,185,234,0,2
2020-03-24,221,326,1,5
2020-03-25,295,401,1,5
2020-03-26,327,508,2,8
2020-03-27,375,663,5,13
2020-03-28,402,773,5,15
2020-03-29,444,919,5,17
2020-03-30,503,1154,7,20
2020-03-31,560,1289,8,24
2020-04-01,621,1414,10,29
2020-04-02,678,1596,12,32
