"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2020","29","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","29","1","6","19","12"
"01/02/2020","33","NO2","ChelmsfordNR","25-017-0010","AQS","3","31","1","9","31","33"
"01/03/2020","45","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","6","21","1","18","45","31"
"01/04/2020","47","PM2.5","VON HILLERN ST","25-025-0044","AQS","7","26","1","13","47","32"
"01/05/2020","36","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","36","3","10","16","12"
"01/06/2020","41","NO2","VON HILLERN ST","25-025-0044","AQS","5","29","3","11","33","41"
"01/07/2020","40","NO2","VON HILLERN ST","25-025-0044","AQS","3","34","3","11","33","40"
"01/08/2020","39","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","34","3","9","39","33"
"01/09/2020","38","NO2","VON HILLERN ST","25-025-0044","AQS","5","33","4","10","30","38"
"01/10/2020","42","PM2.5","Brockton Buckley","25-023-0005","AQS","5","30","3","13","42","34"
"01/11/2020","43","PM2.5","Brockton Buckley","25-023-0005","AQS","3","39","3","12","43","15"
"01/12/2020","34","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","34","3","9","23","11"
"01/13/2020","32","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","27","1","13","32","26"
"01/14/2020","45","PM2.5","Brockton Buckley","25-023-0005","AQS","3","20","3","12","45","24"
"01/15/2020","45","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","7","28","1","18","45","33"
"01/16/2020","47","PM2.5","Brockton Buckley","25-023-0005","AQS","7","33","4","14","47","31"
"01/17/2020","39","Ozone","ChelmsfordNR","25-017-0010","AQS","2","39","3","12","28","21"
"01/18/2020","37","NO2","VON HILLERN ST","25-025-0044","AQS","3","35","4","9","33","37"
"01/19/2020","42","NO2","VON HILLERN ST","25-025-0044","AQS","6","33","4","11","41","42"
"01/20/2020","38","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","38","4","12","28","27"
"01/21/2020","46","NO2","VON HILLERN ST","25-025-0044","AQS","7","37","4","14","43","46"
"01/22/2020","58","PM2.5","Brockton Buckley","25-023-0005","AQS","8","35","4","25","58","47"
"01/23/2020","67","PM2.5","Brockton Buckley","25-023-0005","AQS","8","31","3","30","67","44"
"01/24/2020","63","PM2.5","Brockton Buckley","25-023-0005","AQS","7","34","3","20","63","44"
"01/25/2020","39","Ozone","MOOSEHILL SCHOOL","33-015-0018","AirNow","3","39","1","13","38","20"
"01/26/2020","31","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","3","31","1","5","20","17"
"01/27/2020","23","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","3","23","1","5","22","21"
"01/28/2020","38","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","38","3","17","17","20"
"01/29/2020","40","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AirNow","2","40","4","13","26","25"
"01/30/2020","38","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","5","34","3","8","35","38"
"01/31/2020","46","PM2.5","Brockton Buckley","25-023-0005","AQS","5","34","3","15","46","39"
"02/01/2020","51","PM2.5","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","6","30","1","16","51","36"
"02/02/2020","57","PM2.5","Brockton Buckley","25-023-0005","AQS","5","30","4","21","57","32"
"02/03/2020","46","PM2.5","Brockton Buckley","25-023-0005","AQS","6","31","4","13","46","35"
"02/04/2020","54","PM2.5","Brockton Buckley","25-023-0005","AQS","8","31","3","13","54","51"
"02/05/2020","41","PM2.5","Brockton Buckley","25-023-0005","AQS","9","34","6","17","41","38"
"02/06/2020","33","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AirNow","3","33","1","6","30","33"
"02/07/2020","35","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","5","32","1","3","20","35"
"02/08/2020","36","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","2","36","3","7","28","14"
"02/09/2020","36","PM2.5","Brockton Buckley","25-023-0005","AQS","3","35","7","17","36","32"
"02/10/2020","45","PM2.5","Brockton Buckley","25-023-0005","AQS","3","35","3","11","45","25"
"02/11/2020","54","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","5","30","1","21","54","29"
"02/12/2020","38","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","38","1","8","38","28"
"02/13/2020","45","NO2","VON HILLERN ST","25-025-0044","AQS","6","32","3","13","39","45"
"02/14/2020","36","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","5","36","6","14","27","25"
"02/15/2020","36","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","36","21","9","34","24"
"02/16/2020","42","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","32","3","12","42","32"
"02/17/2020","45","PM2.5","Brockton Buckley","25-023-0005","AQS","6","42","3","14","45","32"
"02/18/2020","38","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AirNow","3","38","3","7","35","30"
"02/19/2020","40","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","3","40","3",".","23","24"
"02/20/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","40","3",".","24","33"
"02/21/2020","39","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","39","3","9","32","36"
"02/22/2020","46","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","43","3","12","46","28"
"02/23/2020","56","PM2.5","Brockton Buckley","25-023-0005","AQS","3","45","3","21","56","41"
"02/24/2020","57","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","5","46","3","26","57","43"
"02/25/2020","58","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","3","36","3","29","58","38"
"02/26/2020","53","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","3","44","3","20","53","30"
"02/27/2020","46","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AirNow","2","46","3","11","22","25"
"02/28/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","40","3","6","32","29"
"02/29/2020","37","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","37","3","8","33","37"
"03/01/2020","40","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","37","4","11","33","40"
"03/02/2020","52","PM2.5","Brockton Buckley","25-023-0005","AQS","7","47","3","15","52","41"
"03/03/2020","54","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","3","45","3","20","54","35"
"03/04/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","40","1","8","30","20"
"03/05/2020","42","NO2","VON HILLERN ST","25-025-0044","AQS","5","40","4","15","33","42"
"03/06/2020","48","PM2.5","VON HILLERN ST","25-025-0044","AQS","9","41","3","12","48","44"
"03/07/2020","42","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","42","4","8","21","22"
"03/08/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","44","3","8","33","41"
"03/09/2020","49","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","49","3","12","48","38"
"03/10/2020","55","PM2.5","Brockton Buckley","25-023-0005","AQS","3","43","3","21","55","42"
"03/11/2020","39","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","39","4","13","28","21"
"03/12/2020","37","Ozone","Brockton Buckley","25-023-0005","AQS","2","37","3","9","33","33"
"03/13/2020","39","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","39","3","14","35","29"
"03/14/2020","40","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","40","4","9","28","12"
"03/15/2020","44","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","44","6","11","31","15"
"03/16/2020","41","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","41","4","8","26","23"
"03/17/2020","39","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","3","39","4","10","30","33"
"03/18/2020","43","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","3","43","4","8","34","29"
"03/19/2020","41","Ozone","SEACOAST SCIENCE CENTER","33-015-0016","AQS","2","41","3","8","32","20"
"03/20/2020","45","PM2.5","Brockton Buckley","25-023-0005","AQS","3","34","0","10","45","25"
"03/21/2020","41","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","41","3","14","25","11"
"03/22/2020","41","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","41","0","6","33","20"
"03/23/2020","40","PM2.5","Brockton Buckley","25-023-0005","AQS","2","40","1","12","40","28"
"03/24/2020","40","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS","2","40","1","6","20","21"
"03/25/2020","41","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","41","0","9","30","16"
"03/26/2020","44","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","44","0","11","34","24"
"03/27/2020","43","Ozone","Brockton Buckley","25-023-0005","AQS","2","43","3","25","38","26"
