,Date,cases_ar
316,2020-12-03,2789.0
317,2020-12-04,2825.0
324,2020-12-11,2770.0
325,2020-12-12,2628.0
330,2020-12-17,3036.0
331,2020-12-18,2881.0
332,2020-12-19,2692.0
336,2020-12-23,2893.0
337,2020-12-24,3204.0
342,2020-12-29,2718.0
343,2020-12-30,3184.0
344,2020-12-31,2708.0
345,2021-01-01,4304.0
349,2021-01-05,4107.0
350,2021-01-06,3705.0
351,2021-01-07,3323.0
352,2021-01-08,2944.0
353,2021-01-09,2886.0
354,2021-01-10,3330.0
356,2021-01-12,3209.0
357,2021-01-13,2467.0
358,2021-01-14,2491.0
359,2021-01-15,3124.0
360,2021-01-16,2543.0
364,2021-01-20,2520.0
365,2021-01-21,3106.0
370,2021-01-26,2485.0
378,2021-02-03,2426.0
379,2021-02-04,2469.0
403,2021-02-28,3308.0
