,Date,cases_az
314,2020-12-01,10322.0
318,2020-12-05,6799.0
321,2020-12-08,12314.0
324,2020-12-11,6983.0
325,2020-12-12,8077.0
326,2020-12-13,6675.0
327,2020-12-14,10667.0
331,2020-12-18,7635.0
341,2020-12-28,50826.0
344,2020-12-31,7718.0
345,2021-01-01,10060.0
346,2021-01-02,8883.0
347,2021-01-03,17234.0
350,2021-01-06,7206.0
351,2021-01-07,9913.0
352,2021-01-08,11658.0
353,2021-01-09,11094.0
354,2021-01-10,11201.0
355,2021-01-11,8995.0
356,2021-01-12,8559.0
358,2021-01-14,7311.0
359,2021-01-15,9146.0
360,2021-01-16,8715.0
361,2021-01-17,6981.0
363,2021-01-19,6417.0
365,2021-01-21,9398.0
366,2021-01-22,8099.0
367,2021-01-23,7316.0
368,2021-01-24,7217.0
