,Date,deaths_az
167,2020-07-07,117.0
178,2020-07-18,147.0
181,2020-07-21,134.0
185,2020-07-25,144.0
190,2020-07-30,172.0
203,2020-08-12,148.0
317,2020-12-04,146.0
330,2020-12-17,147.0
331,2020-12-18,142.0
332,2020-12-19,118.0
341,2020-12-28,498.0
342,2020-12-29,171.0
344,2020-12-31,146.0
345,2021-01-01,150.0
349,2021-01-05,253.0
350,2021-01-06,127.0
351,2021-01-07,297.0
352,2021-01-08,197.0
356,2021-01-12,335.0
357,2021-01-13,191.0
358,2021-01-14,182.0
359,2021-01-15,185.0
360,2021-01-16,208.0
364,2021-01-20,262.0
365,2021-01-21,244.0
366,2021-01-22,229.0
367,2021-01-23,169.0
370,2021-01-26,209.0
371,2021-01-27,194.0
372,2021-01-28,177.0
373,2021-01-29,202.0
377,2021-02-02,238.0
378,2021-02-03,214.0
379,2021-02-04,176.0
380,2021-02-05,191.0
384,2021-02-09,231.0
385,2021-02-10,176.0
386,2021-02-11,200.0
387,2021-02-12,172.0
388,2021-02-13,112.0
393,2021-02-18,213.0
394,2021-02-19,145.0
398,2021-02-23,188.0
400,2021-02-25,204.0
