,Date,cases_az
0,2020-01-22,0.0
1,2020-01-23,0.0
2,2020-01-24,0.0
3,2020-01-25,0.0
4,2020-01-26,1.0
5,2020-01-27,0.0
6,2020-01-28,0.0
7,2020-01-29,0.0
8,2020-01-30,0.0
9,2020-01-31,0.0
10,2020-02-01,0.0
11,2020-02-02,0.0
12,2020-02-03,0.0
13,2020-02-04,0.0
14,2020-02-05,0.0
15,2020-02-06,0.0
16,2020-02-07,0.0
17,2020-02-08,0.0
18,2020-02-09,0.0
19,2020-02-10,0.0
20,2020-02-11,0.0
21,2020-02-12,0.0
22,2020-02-13,0.0
23,2020-02-14,0.0
24,2020-02-15,0.0
25,2020-02-16,0.0
26,2020-02-17,0.0
27,2020-02-18,0.0
28,2020-02-19,0.0
29,2020-02-20,0.0
30,2020-02-21,0.0
31,2020-02-22,0.0
32,2020-02-23,0.0
33,2020-02-24,0.0
34,2020-02-25,0.0
35,2020-02-26,0.0
36,2020-02-27,0.0
37,2020-02-28,0.0
38,2020-02-29,0.0
39,2020-03-01,0.0
40,2020-03-02,0.0
41,2020-03-03,0.0
42,2020-03-04,0.0
43,2020-03-05,0.0
44,2020-03-06,1.0
45,2020-03-07,2.0
46,2020-03-08,0.0
47,2020-03-09,2.0
48,2020-03-10,0.0
49,2020-03-11,4.0
50,2020-03-12,0.0
51,2020-03-13,0.0
52,2020-03-14,2.0
53,2020-03-15,0.0
54,2020-03-16,6.0
55,2020-03-17,2.0
56,2020-03-18,7.0
57,2020-03-19,17.0
58,2020-03-20,19.0
59,2020-03-21,40.0
60,2020-03-22,49.0
61,2020-03-23,82.0
62,2020-03-24,92.0
63,2020-03-25,75.0
64,2020-03-26,107.0
65,2020-03-27,155.0
66,2020-03-28,110.0
67,2020-03-29,146.0
68,2020-03-30,235.0
69,2020-03-31,135.0
70,2020-04-01,125.0
71,2020-04-02,182.0
72,2020-04-03,173.0
73,2020-04-04,249.0
74,2020-04-05,251.0
75,2020-04-06,187.0
76,2020-04-07,119.0
77,2020-04-08,151.0
78,2020-04-09,292.0
79,2020-04-10,93.0
80,2020-04-11,282.0
81,2020-04-12,146.0
82,2020-04-13,162.0
83,2020-04-14,97.0
84,2020-04-15,164.0
85,2020-04-16,272.0
86,2020-04-17,273.0
87,2020-04-18,211.0
88,2020-04-19,210.0
89,2020-04-20,136.0
90,2020-04-21,187.0
91,2020-04-22,208.0
92,2020-04-23,309.0
93,2020-04-24,275.0
94,2020-04-25,237.0
95,2020-04-26,246.0
96,2020-04-27,190.0
97,2020-04-28,232.0
98,2020-04-29,254.0
99,2020-04-30,446.0
100,2020-05-01,313.0
101,2020-05-02,403.0
102,2020-05-03,276.0
103,2020-05-04,279.0
104,2020-05-05,385.0
105,2020-05-06,402.0
106,2020-05-07,238.0
107,2020-05-08,582.0
108,2020-05-09,434.0
109,2020-05-10,158.0
110,2020-05-11,261.0
111,2020-05-12,356.0
112,2020-05-13,440.0
113,2020-05-14,498.0
114,2020-05-15,495.0
115,2020-05-16,463.0
116,2020-05-17,306.0
117,2020-05-18,233.0
118,2020-05-19,396.0
119,2020-05-20,331.0
120,2020-05-21,418.0
121,2020-05-22,292.0
122,2020-05-23,432.0
123,2020-05-24,300.0
124,2020-05-25,221.0
125,2020-05-26,222.0
126,2020-05-27,479.0
127,2020-05-28,502.0
128,2020-05-29,702.0
129,2020-05-30,790.0
130,2020-05-31,864.0
131,2020-06-01,4.0
132,2020-06-02,1126.0
133,2020-06-03,971.0
134,2020-06-04,533.0
135,2020-06-05,1578.0
136,2020-06-06,1120.0
137,2020-06-07,1438.0
138,2020-06-08,788.0
139,2020-06-09,619.0
140,2020-06-10,1556.0
141,2020-06-11,1411.0
142,2020-06-12,1655.0
143,2020-06-13,1540.0
144,2020-06-14,1233.0
145,2020-06-15,1014.0
146,2020-06-16,2392.0
147,2020-06-17,1827.0
148,2020-06-18,2519.0
149,2020-06-19,3245.0
150,2020-06-20,3110.0
151,2020-06-21,2592.0
152,2020-06-22,2196.0
153,2020-06-23,3767.0
154,2020-06-24,1620.0
155,2020-06-25,3057.0
156,2020-06-26,3428.0
157,2020-06-27,3593.0
158,2020-06-28,3857.0
159,2020-06-29,625.0
160,2020-06-30,4682.0
161,2020-07-01,4877.0
162,2020-07-02,3333.0
163,2020-07-03,4433.0
164,2020-07-04,2695.0
165,2020-07-05,3536.0
166,2020-07-06,3352.0
167,2020-07-07,3653.0
168,2020-07-08,3520.0
169,2020-07-09,4057.0
