,date,cases
0,2020-01-22,0
1,2020-01-23,0
2,2020-01-24,0
3,2020-01-25,0
4,2020-01-26,0
5,2020-01-27,0
6,2020-01-28,0
7,2020-01-29,0
8,2020-01-30,0
9,2020-01-31,0
10,2020-02-01,1
11,2020-02-02,0
12,2020-02-03,0
13,2020-02-04,0
14,2020-02-05,0
15,2020-02-06,0
16,2020-02-07,0
17,2020-02-08,0
18,2020-02-09,0
19,2020-02-10,0
20,2020-02-11,0
21,2020-02-12,0
22,2020-02-13,0
23,2020-02-14,0
24,2020-02-15,0
25,2020-02-16,0
26,2020-02-17,0
27,2020-02-18,0
28,2020-02-19,0
29,2020-02-20,0
30,2020-02-21,0
31,2020-02-22,0
32,2020-02-23,0
33,2020-02-24,0
34,2020-02-25,0
35,2020-02-26,0
36,2020-02-27,0
37,2020-02-28,0
38,2020-02-29,0
39,2020-03-01,0
40,2020-03-02,0
41,2020-03-03,1
42,2020-03-04,0
43,2020-03-05,0
44,2020-03-06,4
45,2020-03-07,0
46,2020-03-08,16
47,2020-03-09,19
48,2020-03-10,51
49,2020-03-11,4
50,2020-03-12,12
51,2020-03-13,16
52,2020-03-14,14
53,2020-03-15,25
54,2020-03-16,34
55,2020-03-17,21
56,2020-03-18,38
57,2020-03-19,72
58,2020-03-20,88
59,2020-03-21,108
60,2020-03-22,121
61,2020-03-23,131
62,2020-03-24,381
63,2020-03-25,678
64,2020-03-26,579
65,2020-03-27,826
66,2020-03-28,1017
67,2020-03-29,594
68,2020-03-30,901
69,2020-03-31,868
70,2020-04-01,1118
71,2020-04-02,1228
72,2020-04-03,1436
73,2020-04-04,1334
74,2020-04-05,764
75,2020-04-06,1337
76,2020-04-07,1363
77,2020-04-08,1590
78,2020-04-09,2151
79,2020-04-10,2032
80,2020-04-11,1886
81,2020-04-12,2615
82,2020-04-13,1392
83,2020-04-14,1297
84,2020-04-15,1755
85,2020-04-16,2263
86,2020-04-17,2221
87,2020-04-18,1970
88,2020-04-19,1705
89,2020-04-20,1566
90,2020-04-21,1556
91,2020-04-22,1745
92,2020-04-23,3079
93,2020-04-24,4946
94,2020-04-25,2379
95,2020-04-26,1475
96,2020-04-27,1639
97,2020-04-28,1840
98,2020-04-29,1950
99,2020-04-30,1925
100,2020-05-01,2134
101,2020-05-02,1952
102,2020-05-03,1824
103,2020-05-04,1000
104,2020-05-05,1184
105,2020-05-06,1753
106,2020-05-07,1697
107,2020-05-08,1612
108,2020-05-09,1410
109,2020-05-10,1050
110,2020-05-11,669
111,2020-05-12,870
112,2020-05-13,1165
113,2020-05-14,1685
114,2020-05-15,1239
115,2020-05-16,1512
116,2020-05-17,1077
117,2020-05-18,1042
118,2020-05-19,873
119,2020-05-20,1045
120,2020-05-21,1114
121,2020-05-22,805
122,2020-05-23,773
123,2020-05-24,1013
124,2020-05-25,596
125,2020-05-26,422
126,2020-05-27,527
127,2020-05-28,675
128,2020-05-29,617
129,2020-05-30,789
130,2020-05-31,704
131,2020-06-01,3792
132,2020-06-02,381
133,2020-06-03,414
134,2020-06-04,467
135,2020-06-05,497
136,2020-06-06,576
137,2020-06-07,304
138,2020-06-08,170
139,2020-06-09,279
140,2020-06-10,271
141,2020-06-11,511
142,2020-06-12,392
143,2020-06-13,334
144,2020-06-14,199
145,2020-06-15,97
146,2020-06-16,195
147,2020-06-17,267
148,2020-06-18,271
149,2020-06-19,228
150,2020-06-20,286
151,2020-06-21,125
152,2020-06-22,149
153,2020-06-23,229
154,2020-06-24,172
155,2020-06-25,226
156,2020-06-26,233
157,2020-06-27,373
158,2020-06-28,224
159,2020-06-29,83
160,2020-06-30,132
161,2020-07-01,261
162,2020-07-02,195
163,2020-07-03,290
164,2020-07-04,210
165,2020-07-05,136
166,2020-07-06,163
167,2020-07-07,201
168,2020-07-08,264
169,2020-07-09,295
170,2020-07-10,213
171,2020-07-11,288
172,2020-07-12,199
173,2020-07-13,230
174,2020-07-14,303
175,2020-07-15,217
176,2020-07-16,234
177,2020-07-17,298
178,2020-07-18,359
179,2020-07-19,296
180,2020-07-20,255
181,2020-07-21,244
182,2020-07-22,287
183,2020-07-23,327
184,2020-07-24,338
185,2020-07-25,283
186,2020-07-26,369
187,2020-07-27,289
188,2020-07-28,256
189,2020-07-29,502
190,2020-07-30,414
191,2020-07-31,514
192,2020-08-01,428
193,2020-08-02,418
194,2020-08-03,199
195,2020-08-04,546
196,2020-08-05,440
197,2020-08-06,231
198,2020-08-07,417
199,2020-08-08,420
200,2020-08-09,329
201,2020-08-10,275
202,2020-08-11,392
203,2020-08-12,0
204,2020-08-13,0
205,2020-08-14,0
206,2020-08-15,1492
207,2020-08-16,394
208,2020-08-17,248
209,2020-08-18,222
210,2020-08-19,352
211,2020-08-20,313
212,2020-08-21,488
213,2020-08-22,144
214,2020-08-23,0
215,2020-08-24,662
216,2020-08-25,398
217,2020-08-26,336
218,2020-08-27,368
219,2020-08-28,460
220,2020-08-29,446
221,2020-08-30,199
222,2020-08-31,304
223,2020-09-01,355
224,2020-09-02,0
225,2020-09-03,0
226,2020-09-04,0
227,2020-09-05,0
228,2020-09-06,0
229,2020-09-07,0
230,2020-09-08,1422
231,2020-09-09,182
232,2020-09-10,363
233,2020-09-11,402
234,2020-09-12,444
235,2020-09-13,267
236,2020-09-14,235
237,2020-09-15,302
238,2020-09-16,305
239,2020-09-17,429
240,2020-09-18,431
241,2020-09-19,570
242,2020-09-20,346
243,2020-09-21,244
244,2020-09-22,158
245,2020-09-23,0
246,2020-09-24,556
247,2020-09-25,454
248,2020-09-26,519
249,2020-09-27,594
250,2020-09-28,367
251,2020-09-29,452
252,2020-09-30,512
253,2020-10-01,708
254,2020-10-02,757
255,2020-10-03,603
256,2020-10-04,634
257,2020-10-05,465
258,2020-10-06,455
259,2020-10-07,525
260,2020-10-08,413
261,2020-10-09,657
262,2020-10-10,592
263,2020-10-11,570
264,2020-10-12,778
265,2020-10-13,632
266,2020-10-14,2525
267,2020-10-15,571
268,2020-10-16,702
269,2020-10-17,582
270,2020-10-18,759
271,2020-10-19,842
272,2020-10-20,821
273,2020-10-21,646
274,2020-10-22,986
275,2020-10-23,977
276,2020-10-24,1128
277,2020-10-25,1117
278,2020-10-26,1216
279,2020-10-27,1025
280,2020-10-28,1146
281,2020-10-29,1250
282,2020-10-30,1488
283,2020-10-31,1292
284,2020-11-01,1139
285,2020-11-02,731
286,2020-11-03,923
287,2020-11-04,1629
288,2020-11-05,1793
289,2020-11-06,2038
290,2020-11-07,2177
291,2020-11-08,1809
292,2020-11-09,1163
293,2020-11-10,2047
294,2020-11-11,2495
295,2020-11-12,2484
296,2020-11-13,2674
297,2020-11-14,2841
298,2020-11-15,2084
299,2020-11-16,1967
300,2020-11-17,2263
301,2020-11-18,2744
302,2020-11-19,2532
303,2020-11-20,2288
304,2020-11-21,3018
305,2020-11-22,2721
306,2020-11-23,1785
307,2020-11-24,2225
308,2020-11-25,3224
309,2020-11-26,0
310,2020-11-27,4464
311,2020-11-28,2887
312,2020-11-29,2499
313,2020-11-30,1203
314,2020-12-01,2845
315,2020-12-02,4634
316,2020-12-03,6477
317,2020-12-04,5192
318,2020-12-05,5358
319,2020-12-06,4747
320,2020-12-07,2463
321,2020-12-08,3330
322,2020-12-09,5301
323,2020-12-10,4699
324,2020-12-11,5424
325,2020-12-12,4968
326,2020-12-13,4677
327,2020-12-14,3572
328,2020-12-15,3720
329,2020-12-16,5450
330,2020-12-17,4985
331,2020-12-18,5632
332,2020-12-19,3995
333,2020-12-20,3845
334,2020-12-21,7516
335,2020-12-22,2075
336,2020-12-23,0
337,2020-12-24,30
338,2020-12-25,0
339,2020-12-26,0
340,2020-12-27,0
341,2020-12-28,0
342,2020-12-29,3659
343,2020-12-30,6135
344,2020-12-31,6887
345,2021-01-01,0
346,2021-01-02,8542
347,2021-01-03,3100
348,2021-01-04,4358
349,2021-01-05,22110
350,2021-01-06,6419
351,2021-01-07,7136
352,2021-01-08,7635
353,2021-01-09,7110
354,2021-01-10,5396
355,2021-01-11,0
356,2021-01-12,9145
357,2021-01-13,5278
358,2021-01-14,5545
359,2021-01-15,5074
360,2021-01-16,5657
361,2021-01-17,4283
362,2021-01-18,3224
363,2021-01-19,2567
364,2021-01-20,3987
365,2021-01-21,4821
366,2021-01-22,4935
367,2021-01-23,4330
368,2021-01-24,3750
369,2021-01-25,3477
370,2021-01-26,2215
371,2021-01-27,3022
372,2021-01-28,4222
373,2021-01-29,2781
374,2021-01-30,3957
375,2021-01-31,2546
376,2021-02-01,2270
377,2021-02-02,1963
378,2021-02-03,0
379,2021-02-04,4788
380,2021-02-05,2959
381,2021-02-06,3400
382,2021-02-07,3005
383,2021-02-08,1276
384,2021-02-09,1319
385,2021-02-10,1920
386,2021-02-11,2213
387,2021-02-12,2228
388,2021-02-13,1949
389,2021-02-14,1820
390,2021-02-15,1480
391,2021-02-16,967
392,2021-02-17,1322
393,2021-02-18,1803
394,2021-02-19,1679
395,2021-02-20,1822
396,2021-02-21,1316
397,2021-02-22,1150
398,2021-02-23,1114
399,2021-02-24,1788
400,2021-02-25,1928
401,2021-02-26,1734
402,2021-02-27,1516
403,2021-02-28,1428
404,2021-03-01,1248
405,2021-03-02,152
406,2021-03-03,1518
407,2021-03-04,1410
408,2021-03-05,1677
409,2021-03-06,1495
410,2021-03-07,0
411,2021-03-08,2173
412,2021-03-09,1006
413,2021-03-10,1413
414,2021-03-11,1589
415,2021-03-12,1638
416,2021-03-13,0
417,2021-03-14,2995
418,2021-03-15,1105
419,2021-03-16,1022
420,2021-03-17,1689
421,2021-03-18,1871
422,2021-03-19,1918
423,2021-03-20,1868
424,2021-03-21,1692
425,2021-03-22,1101
426,2021-03-23,1475
427,2021-03-24,1844
428,2021-03-25,2295
429,2021-03-26,2316
430,2021-03-27,2149
431,2021-03-28,1995
432,2021-03-29,1604
433,2021-03-30,1581
434,2021-03-31,2249
435,2021-04-01,2464
436,2021-04-02,2154
437,2021-04-03,2290
