,date,deaths
0,2020-01-22,0
1,2020-01-23,0
2,2020-01-24,0
3,2020-01-25,0
4,2020-01-26,0
5,2020-01-27,0
6,2020-01-28,0
7,2020-01-29,0
8,2020-01-30,0
9,2020-01-31,0
10,2020-02-01,0
11,2020-02-02,0
12,2020-02-03,0
13,2020-02-04,0
14,2020-02-05,0
15,2020-02-06,0
16,2020-02-07,0
17,2020-02-08,0
18,2020-02-09,0
19,2020-02-10,0
20,2020-02-11,0
21,2020-02-12,0
22,2020-02-13,0
23,2020-02-14,0
24,2020-02-15,0
25,2020-02-16,0
26,2020-02-17,0
27,2020-02-18,0
28,2020-02-19,0
29,2020-02-20,0
30,2020-02-21,0
31,2020-02-22,0
32,2020-02-23,0
33,2020-02-24,0
34,2020-02-25,0
35,2020-02-26,0
36,2020-02-27,0
37,2020-02-28,0
38,2020-02-29,0
39,2020-03-01,0
40,2020-03-02,0
41,2020-03-03,0
42,2020-03-04,0
43,2020-03-05,0
44,2020-03-06,0
45,2020-03-07,0
46,2020-03-08,0
47,2020-03-09,0
48,2020-03-10,0
49,2020-03-11,0
50,2020-03-12,0
51,2020-03-13,0
52,2020-03-14,0
53,2020-03-15,0
54,2020-03-16,0
55,2020-03-17,0
56,2020-03-18,0
57,2020-03-19,0
58,2020-03-20,1
59,2020-03-21,1
60,2020-03-22,3
61,2020-03-23,4
62,2020-03-24,2
63,2020-03-25,4
64,2020-03-26,10
65,2020-03-27,10
66,2020-03-28,9
67,2020-03-29,4
68,2020-03-30,8
69,2020-03-31,33
70,2020-04-01,33
71,2020-04-02,32
72,2020-04-03,38
73,2020-04-04,24
74,2020-04-05,15
75,2020-04-06,29
76,2020-04-07,96
77,2020-04-08,77
78,2020-04-09,70
79,2020-04-10,96
80,2020-04-11,87
81,2020-04-12,70
82,2020-04-13,88
83,2020-04-14,113
84,2020-04-15,151
85,2020-04-16,137
86,2020-04-17,159
87,2020-04-18,156
88,2020-04-19,145
89,2020-04-20,104
90,2020-04-21,152
91,2020-04-22,221
92,2020-04-23,178
93,2020-04-24,196
94,2020-04-25,174
95,2020-04-26,169
96,2020-04-27,104
97,2020-04-28,149
98,2020-04-29,253
99,2020-04-30,157
100,2020-05-01,154
101,2020-05-02,130
102,2020-05-03,158
103,2020-05-04,86
104,2020-05-05,122
105,2020-05-06,208
106,2020-05-07,132
107,2020-05-08,150
108,2020-05-09,138
109,2020-05-10,139
110,2020-05-11,129
111,2020-05-12,33
112,2020-05-13,174
113,2020-05-14,167
114,2020-05-15,110
115,2020-05-16,113
116,2020-05-17,92
117,2020-05-18,65
118,2020-05-19,76
119,2020-05-20,128
120,2020-05-21,82
121,2020-05-22,80
122,2020-05-23,76
123,2020-05-24,68
124,2020-05-25,44
125,2020-05-26,57
126,2020-05-27,74
127,2020-05-28,93
128,2020-05-29,77
129,2020-05-30,51
130,2020-05-31,78
131,2020-06-01,182
132,2020-06-02,52
133,2020-06-03,72
134,2020-06-04,51
135,2020-06-05,32
136,2020-06-06,54
137,2020-06-07,27
138,2020-06-08,37
139,2020-06-09,54
140,2020-06-10,47
141,2020-06-11,37
142,2020-06-12,47
143,2020-06-13,38
144,2020-06-14,48
145,2020-06-15,23
146,2020-06-16,18
147,2020-06-17,69
148,2020-06-18,36
149,2020-06-19,30
150,2020-06-20,27
151,2020-06-21,28
152,2020-06-22,16
153,2020-06-23,19
154,2020-06-24,48
155,2020-06-25,25
156,2020-06-26,50
157,2020-06-27,28
158,2020-06-28,19
159,2020-06-29,35
160,2020-06-30,0
161,2020-07-01,27
162,2020-07-02,51
163,2020-07-03,17
164,2020-07-04,22
165,2020-07-05,12
166,2020-07-06,15
167,2020-07-07,15
168,2020-07-08,30
169,2020-07-09,25
170,2020-07-10,28
171,2020-07-11,14
172,2020-07-12,15
173,2020-07-13,5
174,2020-07-14,10
175,2020-07-15,28
176,2020-07-16,12
177,2020-07-17,22
178,2020-07-18,17
179,2020-07-19,12
180,2020-07-20,2
181,2020-07-21,17
182,2020-07-22,18
183,2020-07-23,16
184,2020-07-24,14
185,2020-07-25,12
186,2020-07-26,19
187,2020-07-27,7
188,2020-07-28,15
189,2020-07-29,29
190,2020-07-30,15
191,2020-07-31,14
192,2020-08-01,17
193,2020-08-02,12
194,2020-08-03,10
195,2020-08-04,9
196,2020-08-05,2
197,2020-08-06,32
198,2020-08-07,18
199,2020-08-08,12
200,2020-08-09,14
201,2020-08-10,6
202,2020-08-11,10
203,2020-08-12,0
204,2020-08-13,0
205,2020-08-14,0
206,2020-08-15,69
207,2020-08-16,18
208,2020-08-17,4
209,2020-08-18,6
210,2020-08-19,28
211,2020-08-20,12
212,2020-08-21,0
213,2020-08-22,33
214,2020-08-23,0
215,2020-08-24,28
216,2020-08-25,12
217,2020-08-26,26
218,2020-08-27,21
219,2020-08-28,16
220,2020-08-29,12
221,2020-08-30,13
222,2020-08-31,11
223,2020-09-01,4
224,2020-09-02,0
225,2020-09-03,13
226,2020-09-04,23
227,2020-09-05,16
228,2020-09-06,9
229,2020-09-07,8
230,2020-09-08,8
231,2020-09-09,5
232,2020-09-10,20
233,2020-09-11,14
234,2020-09-12,16
235,2020-09-13,14
236,2020-09-14,9
237,2020-09-15,5
238,2020-09-16,21
239,2020-09-17,15
240,2020-09-18,9
241,2020-09-19,26
242,2020-09-20,15
243,2020-09-21,7
244,2020-09-22,11
245,2020-09-23,0
246,2020-09-24,34
247,2020-09-25,10
248,2020-09-26,19
249,2020-09-27,0
250,2020-09-28,24
251,2020-09-29,8
252,2020-09-30,33
253,2020-10-01,24
254,2020-10-02,10
255,2020-10-03,17
256,2020-10-04,3
257,2020-10-05,20
258,2020-10-06,8
259,2020-10-07,19
260,2020-10-08,8
261,2020-10-09,12
262,2020-10-10,10
263,2020-10-11,17
264,2020-10-12,13
265,2020-10-13,13
266,2020-10-14,17
267,2020-10-15,25
268,2020-10-16,30
269,2020-10-17,21
270,2020-10-18,14
271,2020-10-19,16
272,2020-10-20,5
273,2020-10-21,22
274,2020-10-22,30
275,2020-10-23,20
276,2020-10-24,9
277,2020-10-25,25
278,2020-10-26,17
279,2020-10-27,7
280,2020-10-28,36
281,2020-10-29,27
282,2020-10-30,24
283,2020-10-31,16
284,2020-11-01,22
285,2020-11-02,10
286,2020-11-03,12
287,2020-11-04,27
288,2020-11-05,23
289,2020-11-06,21
290,2020-11-07,19
291,2020-11-08,24
292,2020-11-09,14
293,2020-11-10,21
294,2020-11-11,38
295,2020-11-12,20
296,2020-11-13,23
297,2020-11-14,28
298,2020-11-15,36
299,2020-11-16,11
300,2020-11-17,20
301,2020-11-18,47
302,2020-11-19,28
303,2020-11-20,34
304,2020-11-21,19
305,2020-11-22,24
306,2020-11-23,19
307,2020-11-24,20
308,2020-11-25,53
309,2020-11-26,0
310,2020-11-27,31
311,2020-11-28,41
312,2020-11-29,46
313,2020-11-30,26
314,2020-12-01,30
315,2020-12-02,46
316,2020-12-03,50
317,2020-12-04,36
318,2020-12-05,43
319,2020-12-06,51
320,2020-12-07,31
321,2020-12-08,41
322,2020-12-09,90
323,2020-12-10,43
324,2020-12-11,48
325,2020-12-12,50
326,2020-12-13,42
327,2020-12-14,39
328,2020-12-15,0
329,2020-12-16,125
330,2020-12-17,45
331,2020-12-18,52
332,2020-12-19,47
333,2020-12-20,60
334,2020-12-21,0
335,2020-12-22,0
336,2020-12-23,0
337,2020-12-24,246
338,2020-12-25,0
339,2020-12-26,0
340,2020-12-27,0
341,2020-12-28,42
342,2020-12-29,459
343,2020-12-30,120
344,2020-12-31,85
345,2021-01-01,0
346,2021-01-02,79
347,2021-01-03,108
348,2021-01-04,61
349,2021-01-05,63
350,2021-01-06,102
351,2021-01-07,73
352,2021-01-08,76
353,2021-01-09,89
354,2021-01-10,77
355,2021-01-11,0
356,2021-01-12,122
357,2021-01-13,86
358,2021-01-14,74
359,2021-01-15,76
360,2021-01-16,74
361,2021-01-17,69
362,2021-01-18,53
363,2021-01-19,44
364,2021-01-20,80
365,2021-01-21,77
366,2021-01-22,81
367,2021-01-23,77
368,2021-01-24,69
369,2021-01-25,45
370,2021-01-26,42
371,2021-01-27,84
372,2021-01-28,44
373,2021-01-29,96
374,2021-01-30,87
375,2021-01-31,46
376,2021-02-01,30
377,2021-02-02,45
378,2021-02-03,0
379,2021-02-04,132
380,2021-02-05,0
381,2021-02-06,137
382,2021-02-07,78
383,2021-02-08,55
384,2021-02-09,70
385,2021-02-10,83
386,2021-02-11,62
387,2021-02-12,89
388,2021-02-13,66
389,2021-02-14,60
390,2021-02-15,33
391,2021-02-16,50
392,2021-02-17,56
393,2021-02-18,63
394,2021-02-19,40
395,2021-02-20,53
396,2021-02-21,47
397,2021-02-22,27
398,2021-02-23,30
399,2021-02-24,62
400,2021-02-25,33
401,2021-02-26,46
402,2021-02-27,43
403,2021-02-28,0
404,2021-03-01,77
405,2021-03-02,38
406,2021-03-03,70
407,2021-03-04,44
408,2021-03-05,27
409,2021-03-06,51
410,2021-03-07,0
411,2021-03-08,62
412,2021-03-09,22
413,2021-03-10,51
414,2021-03-11,42
415,2021-03-12,29
416,2021-03-13,0
417,2021-03-14,65
418,2021-03-15,28
419,2021-03-16,16
420,2021-03-17,43
421,2021-03-18,27
422,2021-03-19,54
423,2021-03-20,19
424,2021-03-21,35
425,2021-03-22,27
426,2021-03-23,21
427,2021-03-24,55
428,2021-03-25,40
429,2021-03-26,41
430,2021-03-27,0
431,2021-03-28,64
432,2021-03-29,19
433,2021-03-30,14
434,2021-03-31,37
435,2021-04-01,32
436,2021-04-02,32
437,2021-04-03,32
